"CCN","teaching_status","urban_rural","ownership_type_simple","bed_size_simple","cost_of_care_per_inpatient_day","charity_care_burden","bad_debt_burden","salary_cost_per_inpatient_day","malpractice_premiums_per_inpatient_day","med_records_library_per_inpatient_day","mean_drg_weighting","alos","occupancy_rate","private_room_percentage","semi_private_room_percentage","RN_percent","LPN_percent","naor_percent","ma_percent","nursing_hours_per_inpatient_day","special_care_day_rate","overall_hospital_rating_star_rating","nurse_communication_star_rating","doctor_communication_star_rating","staff_responsiveness_star_rating","communication_about_medicines_star_rating","discharge_information_star_rating","care_transition_star_rating","cleanliness_star_rating","quietness_star_rating","recommend_hospital_star_rating","SDI_score","at_least_high_school","under_100_FPL","renting","crowded","no_computer_internet_access","not_proficient_english_adult","unemployment","non_employment","single_parent_family","no_vehicle_households","long_commute","veteran","medicaid_caseload","disproportionate_percentage","cms_caseload","percent_of_service_area_under_public","percent_of_service_area_under_private","clabsi_rate","cauti_rate","ssi_colon_rate","ssi_hyster_rate","mrsa_rate","cdi_rate","PSI_03","PSI_04","PSI_06","PSI_08","PSI_09","PSI_10","PSI_11","PSI_12","PSI_13","PSI_14","PSI_15","PSI_90","hospital_wide_readmission_rate","heart_failure_readmission_rate","acute_myocardial_infarction_readmission_rate","copd_readmission_rate","hip_knee_replacement_readmission_rate","pneumonia_readmission_rate"
10001,"Teaching","Rural","Governmental","Medium",1574.63438464018,6.064087957,1.882390428,1391.163045,18.61142803,31.24679026,1.98808583973655,5.77203146592963,68.6049128798168,0,95.2134760277847,64.6888449475825,10.6842504258577,24.3604951586077,0.266409467952086,19.2286845619043,17.64922752,3,3,3,2,3,4,3,3,4,4,69.2288914744599,84.3297714,19.38495818,23.06373547,24.49229083,18.3738521,0.608469022,5.943558206,50.55833447,7.561100035,6.751039837,6.897565985,9.925946367,13.1923036036994,0.2846,37.4136281492506,46.17722086,56.38889568,0.503778338,0.46032568,37.03703704,0,0.078690589,0.481979855,0.39,184.68,0.23,0.1,2.39,1.14,13.83,4.49,8.05,1.69,0.93,1.21,14.2,22.2,13,19,3.8,16.9
10005,"Non Teaching","Rural","Governmental","Medium",1846.69279045643,4.219025617,4.620422558,1814.359689,7.661220655,64.29973635,1.65958150234742,5.98200434377909,41.8300754194243,0,94.8817014387166,66.330358047994,11.3238651997818,22.3457767522242,0,21.4886929460581,14.55838218,3,3,4,2,3,3,3,3,4,3,63.5680125195618,82.22487864,18.29094917,20.46677241,21.88229342,12.09834125,3.940207293,3.823732259,46.44409049,5.852510741,4.740032048,9.892778306,7.540453297,21.7809494260006,0.3114,45.12876202296,40.52067056,60.42650766,2.187585453,1.334465607,11.49425287,0,0,0.256067374,0.94,183.49,0.22,0.09,2.69,1.37,7.19,3.01,4.46,1.87,0.91,0.97,12.8,20,NA,16.6,3.4,16.2
10006,"Teaching","Urban","Proprietary","Medium",1143.08613166906,3.427826287,2.470222772,1026.036882,28.66264995,55.42709574,1.86368471967754,6.4052356947024,63.9289882670926,0,90.7965792255213,72.3982525247489,7.86546051496055,17.1275396116125,2.60874734867808,14.3995912957031,26.88167021,2,2,3,1,2,3,2,1,3,2,52.6996830427892,86.2824675,15.22368966,22.07390302,23.04589744,19.99959741,1.251835641,4.252742303,46.50057036,5.605910251,5.537698945,9.618394829,7.237546747,12.8416025470947,0.2101,43.9285398425754,39.70928869,66.05734114,0.549450549,0.782132615,24.09638554,0,0.113937855,0.034386122,1.39,173.63,0.36,0.08,5.43,1.26,7.37,3.36,4.37,1.76,1.34,1.17,13.4,19.4,14.5,17.6,5.3,16.4
10007,"Non Teaching","Rural","Governmental","Small",1741.94677097714,1.859303941,11.39380907,1621.449214,NA,53.58504336,1.45622717948718,5.41445182724252,32.5479452054795,0,72.8208005985784,64.9288701523371,21.0811400930483,13.9899897546146,0,18.2662985120417,19.65312956,4,4,5,4,4,4,4,3,4,4,68.5831071913161,83.92302887,16.90115202,20.10398824,21.48579177,18.64751938,0.038240032,7.090620852,49.66161389,5.249062282,5.564111098,8.097353777,9.168367829,11.9601328903654,0.2241,49.4186046511628,43.21084859,59.12477273,0,1.377410468,0,NA,0,0.182815356,0.42,NA,0.24,0.09,2.49,1.57,8.45,3.89,5.19,NA,1.08,0.95,15.7,21,NA,20,4.2,16.5
10011,"Teaching","Urban","Nonprofit","Medium",1838.20870466321,7.492346918,1.125091971,1006.522608,30.46295285,0.091447154,1.85542977198697,6.25715157525364,50.9469734569494,0,89.4612761811982,63.2714331159536,2.86213946768464,32.4009364561794,1.46549096018239,14.7162938128619,39.36130081,3,3,3,3,3,3,3,3,3,4,51.5189737771054,87.17791004,15.900545,20.8646332,22.11356401,11.82643096,1.240603834,6.386091244,45.16900172,7.297863498,5.691241152,7.806553845,7.494164026,11.648485773133,0.2119,30.3989625448165,38.58742829,64.08436312,0.789820097,1.19372442,7.246376812,18.18181818,0.135268077,0.418101328,0.13,189.28,0.24,0.08,1.88,1.72,4.05,3.04,5.55,1.86,1.18,0.72,14.9,20.2,14.1,19.7,4.2,17.8
10016,"Non Teaching","Urban","Proprietary","Medium",1924.887992764,6.692647361,0.88337779,1143.399832,10.71188826,12.06654056,2.0982900456621,5.69073491564198,38.8278624967692,0,96.4819437510401,87.7064174607767,8.27510834085802,4.01847419836532,0,17.1958996005126,21.11327697,3,3,3,2,3,3,3,1,3,3,39.7298002086175,88.35697501,11.24078591,16.90508685,18.37272357,11.07163613,2.007222407,4.887004499,41.29000382,5.216070483,3.149018438,12.32623841,6.715949856,7.7209036316843,0.1474,30.0972261938805,32.33301834,70.76296075,0.353024241,0.516262261,8.196721311,0,0.140914535,0.117428779,0.63,149.91,0.21,0.09,3.29,1.2,13.54,3.67,6.08,2.77,0.84,1.17,14.5,19.8,14.5,18.5,4.7,17
10019,"Non Teaching","Urban","Governmental","Medium",1677.54798939602,1.349540511,6.284865816,1774.604073,8.351869443,74.51012615,1.38095355960265,4.77781168930261,39.3997229490534,0,89.0968044378467,67.425998031263,6.89122809293606,23.9778865754518,1.70488730034915,19.6952633428088,11.44083897,4,4,5,3,3,3,4,3,4,4,54.6958756006407,85.15050209,16.33303033,22.23292354,23.25568869,22.88372273,1.746468022,4.000263567,46.44151012,7.058685006,4.955430042,7.325579403,7.251633893,30.3372501144514,0.289,55.8370212116588,39.84323391,65.54262054,1.774622893,0.345542502,0,0,0.256311675,0.205874279,0.47,NA,0.22,0.09,2.58,NA,NA,5.63,NA,1.83,0.88,1.05,13.8,18.9,NA,17.7,4.4,16.8
10021,"Non Teaching","Rural","Governmental","Small",2078.03882045539,0.742775779,10.85551919,1709.595237,13.89519175,51.97298162,1.52072678571429,6.54478827361564,25.9704678882761,0,83.7511987943554,51.3286534496079,14.7555288768835,33.9158176735086,0,22.3863381858903,8.918624752,3,3,4,3,3,4,3,5,5,3,69.716148445336,84.13617773,19.92310372,25.32880299,25.95827783,19.89648284,0.740750783,9.673399192,55.3244447,9.107888655,5.799879365,5.568668699,14.36249744,21.742671009772,0.3757,43.0781758957655,49.96329887,58.38864604,0,0,NA,NA,0,0,0.96,NA,0.33,0.09,2.49,1.5,11.87,3.51,NA,NA,1.07,1.16,15.1,21.1,NA,17.7,NA,17.8
10023,"Teaching","Urban","Governmental","Medium",2080.51160917086,1.85669372,3.347989842,1281.676116,10.8627725,14.45917512,2.2946970419426,7.62222551050607,60.2361832782239,0,90.6053952321205,67.5864435846426,4.87052157134184,24.0377475523547,3.50528729166087,18.4970880006212,21.40860816,3,2,3,3,4,3,3,3,3,4,66.589270885235,85.99968185,20.0757034,25.49134114,26.84111129,17.49487531,1.043067327,6.584085674,47.24975068,8.825457261,8.008927569,5.263426478,9.052864501,23.1577389760284,0.3752,40.8922758212489,43.99258348,60.1095382,2.174651716,2.94528754,28.24858757,35.0877193,0.326687289,0.742226013,1.66,219.8,0.36,0.08,2.79,1.3,11.01,6.72,6.33,1.72,1.34,1.54,15.1,19,14.3,19.2,4.3,16.4
10024,"Non Teaching","Rural","Nonprofit","Medium",1556.74511838625,3.569900069,1.131092026,1587.065631,21.38866978,28.36774083,2.07137125710676,6.58014822216671,67.6544791564009,0,94.8345933662544,62.1198648810695,10.7506318144898,18.7222414538181,8.4072052871051,22.3728376001316,9.734780816,3,3,3,3,3,2,3,2,4,3,67.1676892929423,85.32694651,20.54562276,25.8091242,27.12466042,17.70216409,1.181082516,6.70237683,47.9201922,8.907003658,8.271809581,5.088989575,8.905012424,14.713964526605,0.2734,34.1077525189441,44.66961035,58.97646327,3.323683928,2.212389381,12.26993865,0,0.127984528,0.481873524,0.99,210.01,0.24,0.08,2.42,1.18,3.17,2.72,4.99,2.23,1.91,0.9,14.8,19.4,15.1,19.2,4.3,17.1
